#EMOJI,TITLE,CATEGORY,CODEPOINT,PARENTCODEPOINT,ANNOTATIONS,BRI,VERSION
🤞🏿,Hand With Index and Middle Fingers Crossed +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F91E U+1F3FF,U+1F91E,cross;finger;hand;luck,fingers;crossed;good;,10.2
✌️,Victory Hand,SMILEYS & PEOPLE,U+270C U+FE0F,U+270C U+FE0F,body;hand;person;v;victory,peace;bye;later;,9
✌🏻,Victory Hand +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+270C U+1F3FB,U+270C U+FE0F,body;hand;person;v;victory,peace;bye;later;,9
✌🏼,Victory Hand +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+270C U+1F3FC,U+270C U+FE0F,body;hand;person;v;victory,peace;bye;later;,9
✌🏽,Victory Hand +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+270C U+1F3FD,U+270C U+FE0F,body;hand;person;v;victory,peace;bye;later;,9
✌🏾,Victory Hand +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+270C U+1F3FE,U+270C U+FE0F,body;hand;person;v;victory,peace;bye;later;,9
✌🏿,Victory Hand +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+270C U+1F3FF,U+270C U+FE0F,body;hand;person;v;victory,peace;bye;later;,9
🤟,love-you gesture,SMILEYS & PEOPLE,U+1F91F,U+1F91F,hand;ILY,,11.1
🤟🏻,love-you gesture,SMILEYS & PEOPLE,U+1F91F U+1F3FB,U+1F91F,hand;ILY,,11.1
🤟🏼,love-you gesture,SMILEYS & PEOPLE,U+1F91F U+1F3FC,U+1F91F,hand;ILY,,11.1
🤟🏽,love-you gesture,SMILEYS & PEOPLE,U+1F91F U+1F3FD,U+1F91F,hand;ILY,,11.1
🤟🏾,love-you gesture,SMILEYS & PEOPLE,U+1F91F U+1F3FE,U+1F91F,hand;ILY,,11.1
🤟🏿,love-you gesture,SMILEYS & PEOPLE,U+1F91F U+1F3FF,U+1F91F,hand;ILY,,11.1
🤘,Sign of the Horns,SMILEYS & PEOPLE,U+1F918,U+1F918,body;finger;hand;horns;person;rock-on,rock;metal;headbanger;concert;,9
🤘🏻,Sign of the Horns +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F918 U+1F3FB,U+1F918,body;finger;hand;horns;person;rock-on,rock;metal;headbanger;concert;,9
🤘🏼,Sign of the Horns +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F918 U+1F3FC,U+1F918,body;finger;hand;horns;person;rock-on,rock;metal;headbanger;concert;,9
🤘🏽,Sign of the Horns +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F918 U+1F3FD,U+1F918,body;finger;hand;horns;person;rock-on,rock;metal;headbanger;concert;,9
🤘🏾,Sign of the Horns +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F918 U+1F3FE,U+1F918,body;finger;hand;horns;person;rock-on,rock;metal;headbanger;concert;,9
🤘🏿,Sign of the Horns +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F918 U+1F3FF,U+1F918,body;finger;hand;horns;person;rock-on,rock;metal;headbanger;concert;,9
👌,OK Hand Sign,SMILEYS & PEOPLE,U+1F44C,U+1F44C,body;hand;ok;person,gotcha;whatever;thanks;thank you;,9
👌🏻,OK Hand Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F44C U+1F3FB,U+1F44C,body;hand;ok;person,gotcha;whatever;thanks;thank you;,9
👌🏼,OK Hand Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F44C U+1F3FC,U+1F44C,body;hand;ok;person,gotcha;whatever;thanks;thank you;,9
👌🏽,OK Hand Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F44C U+1F3FD,U+1F44C,body;hand;ok;person,gotcha;whatever;thanks;thank you;,9
👌🏾,OK Hand Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F44C U+1F3FE,U+1F44C,body;hand;ok;person,gotcha;whatever;thanks;thank you;,9
👌🏿,OK Hand Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F44C U+1F3FF,U+1F44C,body;hand;ok;person,gotcha;whatever;thanks;thank you;,9
👈,White Left Pointing Backhand Index,SMILEYS & PEOPLE,U+1F448,U+1F448,backhand;body;finger;hand;index;person;point,this;back;,9
👈🏻,White Left Pointing Backhand Index +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F448 U+1F3FB,U+1F448,backhand;body;finger;hand;index;person;point,this;back;,9
👈🏼,White Left Pointing Backhand Index +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F448 U+1F3FC,U+1F448,backhand;body;finger;hand;index;person;point,this;back;,9
👈🏽,White Left Pointing Backhand Index +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F448 U+1F3FD,U+1F448,backhand;body;finger;hand;index;person;point,this;back;,9
👈🏾,White Left Pointing Backhand Index +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F448 U+1F3FE,U+1F448,backhand;body;finger;hand;index;person;point,this;back;,9
👈🏿,White Left Pointing Backhand Index +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F448 U+1F3FF,U+1F448,backhand;body;finger;hand;index;person;point,this;back;,9
👉,White Right Pointing Backhand Index,SMILEYS & PEOPLE,U+1F449,U+1F449,backhand;body;finger;hand;index;person;point,this;forward;,9
👉🏻,White Right Pointing Backhand Index +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F449 U+1F3FB,U+1F449,backhand;body;finger;hand;index;person;point,this;forward;,9
👉🏼,White Right Pointing Backhand Index +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F449 U+1F3FC,U+1F449,backhand;body;finger;hand;index;person;point,this;forward;,9
👉🏽,White Right Pointing Backhand Index +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F449 U+1F3FD,U+1F449,backhand;body;finger;hand;index;person;point,this;forward;,9
👉🏾,White Right Pointing Backhand Index +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F449 U+1F3FE,U+1F449,backhand;body;finger;hand;index;person;point,this;forward;,9
👉🏿,White Right Pointing Backhand Index +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F449 U+1F3FF,U+1F449,backhand;body;finger;hand;index;person;point,this;forward;,9
👆,White Up Pointing Backhand Index,SMILEYS & PEOPLE,U+1F446,U+1F446,backhand;body;finger;hand;index;person;point;up,heaven;,9
👆🏻,White Up Pointing Backhand Index +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F446 U+1F3FB,U+1F446,backhand;body;finger;hand;index;person;point;up,heaven;,9
👆🏼,White Up Pointing Backhand Index +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F446 U+1F3FC,U+1F446,backhand;body;finger;hand;index;person;point;up,heaven;,9
👆🏽,White Up Pointing Backhand Index +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F446 U+1F3FD,U+1F446,backhand;body;finger;hand;index;person;point;up,heaven;,9
👆🏾,White Up Pointing Backhand Index +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F446 U+1F3FE,U+1F446,backhand;body;finger;hand;index;person;point;up,heaven;,9
👆🏿,White Up Pointing Backhand Index +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F446 U+1F3FF,U+1F446,backhand;body;finger;hand;index;person;point;up,heaven;,9
👇,White Down Pointing Backhand Index,SMILEYS & PEOPLE,U+1F447,U+1F447,backhand;body;down;finger;hand;index;person;point,,9
👇🏻,White Down Pointing Backhand Index +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F447 U+1F3FB,U+1F447,backhand;body;down;finger;hand;index;person;point,,9
👇🏼,White Down Pointing Backhand Index +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F447 U+1F3FC,U+1F447,backhand;body;down;finger;hand;index;person;point,,9
👇🏽,White Down Pointing Backhand Index +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F447 U+1F3FD,U+1F447,backhand;body;down;finger;hand;index;person;point,,9
👇🏾,White Down Pointing Backhand Index +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F447 U+1F3FE,U+1F447,backhand;body;down;finger;hand;index;person;point,,9
👇🏿,White Down Pointing Backhand Index +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F447 U+1F3FF,U+1F447,backhand;body;down;finger;hand;index;person;point,,9
☝️,White Up Pointing Index,SMILEYS & PEOPLE,U+261D U+FE0F,U+261D U+FE0F,body;finger;hand;index;person;point;up,,9
☝🏻,White Up Pointing Index +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+261D U+1F3FB,U+261D U+FE0F,body;finger;hand;index;person;point;up,,9
☝🏼,White Up Pointing Index +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+261D U+1F3FC,U+261D U+FE0F,body;finger;hand;index;person;point;up,,9
☝🏽,White Up Pointing Index +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+261D U+1F3FD,U+261D U+FE0F,body;finger;hand;index;person;point;up,,9
☝🏾,White Up Pointing Index +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+261D U+1F3FE,U+261D U+FE0F,body;finger;hand;index;person;point;up,,9
☝🏿,White Up Pointing Index +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+261D U+1F3FF,U+261D U+FE0F,body;finger;hand;index;person;point;up,,9
✋,raised hand,SMILEYS & PEOPLE,U+270B,U+270B,hand,stop;no;high five;nope;,10.3
✋🏻,raised hand,SMILEYS & PEOPLE,U+270B U+1F3FB,U+270B,hand,stop;no;high five;nope;,10.3
✋🏼,raised hand,SMILEYS & PEOPLE,U+270B U+1F3FC,U+270B,hand,stop;no;high five;nope;,10.3
✋🏽,raised hand,SMILEYS & PEOPLE,U+270B U+1F3FD,U+270B,hand,stop;no;high five;nope;,10.3
✋🏾,raised hand,SMILEYS & PEOPLE,U+270B U+1F3FE,U+270B,hand,stop;no;high five;nope;,10.3
✋🏿,raised hand,SMILEYS & PEOPLE,U+270B U+1F3FF,U+270B,hand,stop;no;high five;nope;,10.3
🤚,Raised Back of Hand,SMILEYS & PEOPLE,U+1F91A,U+1F91A,backhand;raised,stop;no;high five;nope;,10.2
🤚🏻,Raised Back of Hand +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F91A U+1F3FB,U+1F91A,backhand;raised,stop;no;high five;nope;,10.2
🤚🏼,Raised Back of Hand +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F91A U+1F3FC,U+1F91A,backhand;raised,stop;no;high five;nope;,10.2
🤚🏽,Raised Back of Hand +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F91A U+1F3FD,U+1F91A,backhand;raised,stop;no;high five;nope;,10.2
🤚🏾,Raised Back of Hand +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F91A U+1F3FE,U+1F91A,backhand;raised,stop;no;high five;nope;,10.2
🤚🏿,Raised Back of Hand +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F91A U+1F3FF,U+1F91A,backhand;raised,stop;no;high five;nope;,10.2
🖐,Raised Hand With Fingers Splayed,SMILEYS & PEOPLE,U+1F590,U+1F590,body;finger;hand;person;splayed,stop;no;high five;nope;,9
🖐🏻,Raised Hand With Fingers Splayed +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F590 U+1F3FB,U+1F590,body;finger;hand;person;splayed,stop;no;high five;nope;,9
🖐🏼,Raised Hand With Fingers Splayed +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F590 U+1F3FC,U+1F590,body;finger;hand;person;splayed,stop;no;high five;nope;,9
🖐🏽,Raised Hand With Fingers Splayed +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F590 U+1F3FD,U+1F590,body;finger;hand;person;splayed,stop;no;high five;nope;,9
🖐🏾,Raised Hand With Fingers Splayed +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F590 U+1F3FE,U+1F590,body;finger;hand;person;splayed,stop;no;high five;nope;,9
🖐🏿,Raised Hand With Fingers Splayed +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F590 U+1F3FF,U+1F590,body;finger;hand;person;splayed,stop;no;high five;nope;,9
🖖,Raised Hand With Part Between Middle and Ring Fingers,SMILEYS & PEOPLE,U+1F596,U+1F596,body;finger;hand;person;spock;vulcan,,9
🖖🏻,Raised Hand With Part Between Middle and Ring Fingers +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F596 U+1F3FB,U+1F596,body;finger;hand;person;spock;vulcan,,9
🖖🏼,Raised Hand With Part Between Middle and Ring Fingers +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F596 U+1F3FC,U+1F596,body;finger;hand;person;spock;vulcan,,9
🖖🏽,Raised Hand With Part Between Middle and Ring Fingers +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F596 U+1F3FD,U+1F596,body;finger;hand;person;spock;vulcan,,9
🖖🏾,Raised Hand With Part Between Middle and Ring Fingers +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F596 U+1F3FE,U+1F596,body;finger;hand;person;spock;vulcan,,9
🖖🏿,Raised Hand With Part Between Middle and Ring Fingers +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F596 U+1F3FF,U+1F596,body;finger;hand;person;spock;vulcan,,9
👋,Waving Hand Sign,SMILEYS & PEOPLE,U+1F44B,U+1F44B,body;hand;person;wave;waving,bye;goodbye;later;hi;hello;hey,9
👋🏻,Waving Hand Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F44B U+1F3FB,U+1F44B,body;hand;person;wave;waving,bye;goodbye;later;hi;hello;hey,9
👋🏼,Waving Hand Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F44B U+1F3FC,U+1F44B,body;hand;person;wave;waving,bye;goodbye;later;hi;hello;hey,9
👋🏽,Waving Hand Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F44B U+1F3FD,U+1F44B,body;hand;person;wave;waving,bye;goodbye;later;hi;hello;hey,9
👋🏾,Waving Hand Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F44B U+1F3FE,U+1F44B,body;hand;person;wave;waving,bye;goodbye;later;hi;hello;hey,9
👋🏿,Waving Hand Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F44B U+1F3FF,U+1F44B,body;hand;person;wave;waving,bye;goodbye;later;hi;hello;hey,9
🤙,Call Me Hand,SMILEYS & PEOPLE,U+1F919,U+1F919,call;hand,sick;nice;ring;,10.2
🤙🏻,Call Me Hand +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F919 U+1F3FB,U+1F919,call;hand,sick;nice;ring;,10.2
🤙🏼,Call Me Hand +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F919 U+1F3FC,U+1F919,call;hand,sick;nice;ring;,10.2
🤙🏽,Call Me Hand +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F919 U+1F3FD,U+1F919,call;hand,sick;nice;ring;,10.2
🤙🏾,Call Me Hand +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F919 U+1F3FE,U+1F919,call;hand,sick;nice;ring;,10.2
🤙🏿,Call Me Hand +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F919 U+1F3FF,U+1F919,call;hand,sick;nice;ring;,10.2
💪,Flexed Biceps,SMILEYS & PEOPLE,U+1F4AA,U+1F4AA,biceps;body;comic;flex;muscle;person,strong;gym;swoll;,9
💪🏻,Flexed Biceps +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F4AA U+1F3FB,U+1F4AA,biceps;body;comic;flex;muscle;person,strong;gym;swoll;,9
💪🏼,Flexed Biceps +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F4AA U+1F3FC,U+1F4AA,biceps;body;comic;flex;muscle;person,strong;gym;swoll;,9
💪🏽,Flexed Biceps +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F4AA U+1F3FD,U+1F4AA,biceps;body;comic;flex;muscle;person,strong;gym;swoll;,9
💪🏾,Flexed Biceps +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F4AA U+1F3FE,U+1F4AA,biceps;body;comic;flex;muscle;person,strong;gym;swoll;,9
💪🏿,Flexed Biceps +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F4AA U+1F3FF,U+1F4AA,biceps;body;comic;flex;muscle;person,strong;gym;swoll;,9
🖕,Reversed Hand With Middle Finger Extended,SMILEYS & PEOPLE,U+1F595,U+1F595,body;finger;hand;middle finger;person,,9
🖕🏻,Reversed Hand With Middle Finger Extended +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F595 U+1F3FB,U+1F595,body;finger;hand;middle finger;person,,9
🖕🏼,Reversed Hand With Middle Finger Extended +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F595 U+1F3FC,U+1F595,body;finger;hand;middle finger;person,,9
🖕🏽,Reversed Hand With Middle Finger Extended +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F595 U+1F3FD,U+1F595,body;finger;hand;middle finger;person,,9
🖕🏾,Reversed Hand With Middle Finger Extended +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F595 U+1F3FE,U+1F595,body;finger;hand;middle finger;person,,9
🖕🏿,Reversed Hand With Middle Finger Extended +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F595 U+1F3FF,U+1F595,body;finger;hand;middle finger;person,,9
✍️,Writing Hand,SMILEYS & PEOPLE,U+270D U+FE0F,U+270D U+FE0F,body;education;hand;person;write,essay;homework;paper;notes,9
✍🏻,Writing Hand +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+270D U+1F3FB,U+270D U+FE0F,body;education;hand;person;write,essay;homework;paper;notes,9
✍🏼,Writing Hand +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+270D U+1F3FC,U+270D U+FE0F,body;education;hand;person;write,essay;homework;paper;notes,9
✍🏽,Writing Hand +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+270D U+1F3FD,U+270D U+FE0F,body;education;hand;person;write,essay;homework;paper;notes,9
✍🏾,Writing Hand +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+270D U+1F3FE,U+270D U+FE0F,body;education;hand;person;write,essay;homework;paper;notes,9
✍🏿,Writing Hand +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+270D U+1F3FF,U+270D U+FE0F,body;education;hand;person;write,essay;homework;paper;notes,9
🙏,Person With Folded Hands,SMILEYS & PEOPLE,U+1F64F,U+1F64F,ask;body;bow;folded;gesture;hand;person;please;pray;thanks;bless,thank you;perfect;high five;,9
🙏🏻,Person With Folded Hands +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F64F U+1F3FB,U+1F64F,ask;body;bow;folded;gesture;hand;person;please;pray;thanks;bless,thank you;perfect;high five;,9
🙏🏼,Person With Folded Hands +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F64F U+1F3FC,U+1F64F,ask;body;bow;folded;gesture;hand;person;please;pray;thanks;bless,thank you;perfect;high five;,9
🙏🏽,Person With Folded Hands +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F64F U+1F3FD,U+1F64F,ask;body;bow;folded;gesture;hand;person;please;pray;thanks;bless,thank you;perfect;high five;,9
🙏🏾,Person With Folded Hands +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F64F U+1F3FE,U+1F64F,ask;body;bow;folded;gesture;hand;person;please;pray;thanks;bless,thank you;perfect;high five;,9
🙏🏿,Person With Folded Hands +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F64F U+1F3FF,U+1F64F,ask;body;bow;folded;gesture;hand;person;please;pray;thanks;bless,thank you;perfect;high five;,9
🦶,foot,SMILEYS & PEOPLE,U+1F9B6,U+1F9B6,foot;kick;stomp,kick;feet;foot,12.1
🦶🏻,foot,SMILEYS & PEOPLE,U+1F9B6 U+1F3FB,U+1F9B6,foot;kick;stomp,kick;feet;foot,12.1
🦶🏼,foot,SMILEYS & PEOPLE,U+1F9B6 U+1F3FC,U+1F9B6,foot;kick;stomp,kick;feet;foot,12.1
🦶🏽,foot,SMILEYS & PEOPLE,U+1F9B6 U+1F3FD,U+1F9B6,foot;kick;stomp,kick;feet;foot,12.1
🦶🏾,foot,SMILEYS & PEOPLE,U+1F9B6 U+1F3FE,U+1F9B6,foot;kick;stomp,kick;feet;foot,12.1
🦶🏿,foot,SMILEYS & PEOPLE,U+1F9B6 U+1F3FF,U+1F9B6,foot;kick;stomp,kick;feet;foot,12.1
🦵,leg,SMILEYS & PEOPLE,U+1F9B5,U+1F9B5,kick;leg;limb,kick;appendage;limb,12.1
🦵🏻,leg,SMILEYS & PEOPLE,U+1F9B5 U+1F3FB,U+1F9B5,kick;leg;limb,kick;appendage;limb,12.1
🦵🏼,leg,SMILEYS & PEOPLE,U+1F9B5 U+1F3FC,U+1F9B5,kick;leg;limb,kick;appendage;limb,12.1
🦵🏽,leg,SMILEYS & PEOPLE,U+1F9B5 U+1F3FD,U+1F9B5,kick;leg;limb,kick;appendage;limb,12.1
🦵🏾,leg,SMILEYS & PEOPLE,U+1F9B5 U+1F3FE,U+1F9B5,kick;leg;limb,kick;appendage;limb,12.1
🦵🏿,leg,SMILEYS & PEOPLE,U+1F9B5 U+1F3FF,U+1F9B5,kick;leg;limb,kick;appendage;limb,12.1
💄,Lipstick,SMILEYS & PEOPLE,U+1F484,,cosmetics;lipstick;makeup;object;person,,9
💋,Kiss Mark,SMILEYS & PEOPLE,U+1F48B,,emotion;heart;kiss;lips;mark;person;romance,,9
👄,Mouth,SMILEYS & PEOPLE,U+1F444,,body;lips;mouth;person,,9
🦷,tooth,SMILEYS & PEOPLE,U+1F9B7,,dentist;tooth,tooth;teeth;,12.1
👅,Tongue,SMILEYS & PEOPLE,U+1F445,,body;person;tongue,lick,9
👂,Ear,SMILEYS & PEOPLE,U+1F442,U+1F442,body;ear;person,listen,9
👂🏻,Ear +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F442 U+1F3FB,U+1F442,body;ear;person,listen,9
👂🏼,Ear +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F442 U+1F3FC,U+1F442,body;ear;person,listen,9
👂🏽,Ear +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F442 U+1F3FD,U+1F442,body;ear;person,listen,9
👂🏾,Ear +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F442 U+1F3FE,U+1F442,body;ear;person,listen,9
👂🏿,Ear +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F442 U+1F3FF,U+1F442,body;ear;person,listen,9
👃,Nose,SMILEYS & PEOPLE,U+1F443,U+1F443,body;nose;person,smell,9
👃🏻,Nose +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F443 U+1F3FB,U+1F443,body;nose;person,smell,9
👃🏼,Nose +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F443 U+1F3FC,U+1F443,body;nose;person,smell,9
👃🏽,Nose +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F443 U+1F3FD,U+1F443,body;nose;person,smell,9
👃🏾,Nose +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F443 U+1F3FE,U+1F443,body;nose;person,smell,9
👃🏿,Nose +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F443 U+1F3FF,U+1F443,body;nose;person,smell,9
👣,Footprints,SMILEYS & PEOPLE,U+1F463,,body;clothing;footprint;person;print,walk;steps;foot;feet;,9
👁,Eye,SMILEYS & PEOPLE,U+1F441,,body;eye;person,see;sight;look;watch;,9
👀,Eyes,SMILEYS & PEOPLE,U+1F440,,body;eye;face;person,see;sight;look;watch;,9
🧠,brain,SMILEYS & PEOPLE,U+1F9E0,,intelligent,smart;think;blast;,11.1
🗣,Speaking Head in Silhouette,SMILEYS & PEOPLE,U+1F5E3,,face;head;person;silhouette;speak;speaking,talk;talky;man;loud;voice;,9
👤,Bust in Silhouette,SMILEYS & PEOPLE,U+1F464,,bust;person;silhouette,,9
👥,Busts in Silhouette,SMILEYS & PEOPLE,U+1F465,,bust;person;silhouette,twins,9
👶,Baby,SMILEYS & PEOPLE,U+1F476,U+1F476,baby;person,toddler;infant,9
👶🏻,Baby +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F476 U+1F3FB,U+1F476,baby;person,toddler;infant,9
👶🏼,Baby +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F476 U+1F3FC,U+1F476,baby;person,toddler;infant,9
👶🏽,Baby +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F476 U+1F3FD,U+1F476,baby;person,toddler;infant,9
👶🏾,Baby +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F476 U+1F3FE,U+1F476,baby;person,toddler;infant,9
👶🏿,Baby +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F476 U+1F3FF,U+1F476,baby;person,toddler;infant,9
👧,Girl,SMILEYS & PEOPLE,U+1F467,U+1F467,girl;maiden;person;virgin;virgo;zodiac,child;,9
👧🏻,Girl +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F467 U+1F3FB,U+1F467,girl;maiden;person;virgin;virgo;zodiac,child;,9
👧🏼,Girl +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F467 U+1F3FC,U+1F467,girl;maiden;person;virgin;virgo;zodiac,child;,9
👧🏽,Girl +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F467 U+1F3FD,U+1F467,girl;maiden;person;virgin;virgo;zodiac,child;,9
👧🏾,Girl +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F467 U+1F3FE,U+1F467,girl;maiden;person;virgin;virgo;zodiac,child;,9
👧🏿,Girl +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F467 U+1F3FF,U+1F467,girl;maiden;person;virgin;virgo;zodiac,child;,9
🧒,child,SMILEYS & PEOPLE,U+1F9D2,U+1F9D2,gender-neutral;young;(no specific gender),,11.1
🧒🏻,child,SMILEYS & PEOPLE,U+1F9D2 U+1F3FB,U+1F9D2,gender-neutral;young;(no specific gender),,11.1
🧒🏼,child,SMILEYS & PEOPLE,U+1F9D2 U+1F3FC,U+1F9D2,gender-neutral;young;(no specific gender),,11.1
🧒🏽,child,SMILEYS & PEOPLE,U+1F9D2 U+1F3FD,U+1F9D2,gender-neutral;young;(no specific gender),,11.1
🧒🏾,child,SMILEYS & PEOPLE,U+1F9D2 U+1F3FE,U+1F9D2,gender-neutral;young;(no specific gender),,11.1
